Day,Type,Problem_Name,Contest_Name,Problem_Link,Contest_Link,PDF_Link,Category,Difficulty
Day 16,Exercise,GIFTARR,fcb043,https://oj.vnoi.info/problem/fcb043_giftarr,,https://vnoi-admin.github.io/statements/FC/FCB043/giftarr.pdf,Math,400
Day 21,Exercise,ICPC,fcb043,https://oj.vnoi.info/problem/fcb043_icpc,,https://vnoi-admin.github.io/statements/FC/FCB043/icpc.pdf,Greedy,400
Day 23,Exercise,SELLING,fcb041,https://oj.vnoi.info/problem/fcb041_selling,,https://vnoi-admin.github.io/statements/FC/FCB041/selling.pdf,Greedy,400
Day 23,Exercise,POSSIBLE,fcb040,https://oj.vnoi.info/problem/fcb040_possible,,https://vnoi-admin.github.io/statements/FC/FCB040/possible.pdf,Math,400
Day 24,Exercise,NEWYEAR,fcb039,https://oj.vnoi.info/problem/fcb039_newyear,,https://vnoi-admin.github.io/statements/FC/FCB039/newyear.pdf,Simulation,400
Day 3,Exercise,MAXDIVI,fcb050,https://oj.vnoi.info/problem/fcb050_maxdivi,,https://vnoi-admin.github.io/statements/FC/FCB050/maxdivi.pdf,Math,450
Day 10,Exercise,DIV,fcb051,https://oj.vnoi.info/problem/fcb051_div,,https://vnoi-admin.github.io/statements/FC/FCB051/div.pdf,Math,450
Day 10,Exercise,HRANK,fcb051,https://oj.vnoi.info/problem/fcb051_hrank,,https://vnoi-admin.github.io/statements/FC/FCB051/hrank.pdf,Array,450
Day 11,Exercise,SALES,fcb049,https://oj.vnoi.info/problem/fcb049_sales,,https://vnoi-admin.github.io/statements/FC/FCB049/sales.pdf,Greedy,450
Day 16,Exercise,VOICE,fcb044,https://oj.vnoi.info/problem/fcb044_voice,,https://vnoi-admin.github.io/statements/FC/FCB044/voice.pdf,Array,450
Day 22,Exercise,SOCOLA,fcb042,https://oj.vnoi.info/problem/fcb042_socola,,https://vnoi-admin.github.io/statements/FC/FCB042/socola.pdf,Greedy,450
Day 22,Exercise,ONEDIVK,fcb041,https://oj.vnoi.info/problem/fcb041_onedivk,,https://vnoi-admin.github.io/statements/FC/FCB041/onedivk.pdf,Math,450
Day 23,Exercise,MEETING,fcb041,https://oj.vnoi.info/problem/fcb041_meeting,,https://vnoi-admin.github.io/statements/FC/FCB041/meeting.pdf,Math,450
Day 23,Exercise,CARDGAME,fcb040,https://oj.vnoi.info/problem/fcb040_cardgame,,https://vnoi-admin.github.io/statements/FC/FCB040/cardgame.pdf,Greedy,450
Day 1,Exercise,ROOT,fcb055,https://oj.vnoi.info/problem/fcb055_root,,https://vnoi-admin.github.io/statements/FC/FCB055/root.pdf,Graph,500
Day 3,Exercise,PALINARRAY,fcb055,https://oj.vnoi.info/problem/fcb055_palinarray,,https://vnoi-admin.github.io/statements/FC/FCB055/palinarray.pdf,Dynamic Programming,500
Day 4,Exercise,MAXMED,fcb036,https://oj.vnoi.info/problem/fcb036_maxmed,,https://vnoi-admin.github.io/statements/FC/FCB036/maxmed.pdf,Greedy,500
Day 7,Exercise,CEDGE,fcb023,https://oj.vnoi.info/problem/fcb023_cedge,,https://vnoi-admin.github.io/statements/FC/FCB023/cedge.pdf,Graph,500
Day 9,Exercise,DIVNOTDIV,fcb052,https://oj.vnoi.info/problem/fcb052_divnotdiv,,https://vnoi-admin.github.io/statements/FC/FCB052/divnotdiv.pdf,Math,500
Day 9,Exercise,STRGCD,fcb052,https://oj.vnoi.info/problem/fcb052_strgcd,,https://vnoi-admin.github.io/statements/FC/FCB052/strgcd.pdf,String,500
Day 9,Exercise,COLORBALL,fcb051,https://oj.vnoi.info/problem/fcb051_colorball,,https://vnoi-admin.github.io/statements/FC/FCB051/colorball.pdf,Simulation,500
Day 14,Exercise,BUS,fcb046,https://oj.vnoi.info/problem/fcb046_bus,,https://vnoi-admin.github.io/statements/FC/FCB046/bus.pdf,Greedy,500
Day 21,Exercise,TRICKLES,fcb043,https://oj.vnoi.info/problem/fcb043_trickles,,https://vnoi-admin.github.io/statements/FC/FCB043/trickles.pdf,Brute Force,500
Day 22,Exercise,LBIN,fcb041,https://oj.vnoi.info/problem/fcb041_lbin,,https://vnoi-admin.github.io/statements/FC/FCB041/lbin.pdf,Greedy,500
Day 1,Exercise,ROCK,fcb054,https://oj.vnoi.info/problem/fcb054_rock,,https://vnoi-admin.github.io/statements/FC/FCB054/rock.pdf,Greedy,550
Day 3,Exercise,MAXDIFF,fcb047,https://oj.vnoi.info/problem/fcb047_maxdiff,,https://vnoi-admin.github.io/statements/FC/FCB047/maxdiff.pdf,Greedy,550
Day 4,Exercise,MAXDIFF,fcb042,https://oj.vnoi.info/problem/fcb042_maxdiff,,https://vnoi-admin.github.io/statements/FC/FCB042/maxdiff.pdf,Greedy,550
Day 4,Exercise,MEDIAN,fcb039,https://oj.vnoi.info/problem/fcb039_median,,https://vnoi-admin.github.io/statements/FC/FCB039/median.pdf,Array,550
Day 6,Exercise,STRCNT,fcb054,https://oj.vnoi.info/problem/fcb054_strcnt,,https://vnoi-admin.github.io/statements/FC/FCB054/strcnt.pdf,String,550
Day 7,Exercise,AGRTREE,fcb028,https://oj.vnoi.info/problem/fcb028_agrtree,,https://vnoi-admin.github.io/statements/FC/FCB028/agrtree.pdf,Tree,550
Day 7,Exercise,BRIDGES,fcb023,https://oj.vnoi.info/problem/fcb023_bridges,,https://vnoi-admin.github.io/statements/FC/FCB023/bridges.pdf,Geometry,550
Day 8,Exercise,TRAVELAB,fcb010,https://oj.vnoi.info/problem/fcb010_travelab,,https://vnoi-admin.github.io/statements/FC/FCB010/travelab.pdf,Dynamic Programming,550
Day 13,Exercise,CLOSEST,fcb049,https://oj.vnoi.info/problem/fcb049_closest,,https://vnoi-admin.github.io/statements/FC/FCB049/closest.pdf,Data Structures,550
Day 15,Exercise,VENDOR,fcb045,https://oj.vnoi.info/problem/fcb045_vendor,,https://vnoi-admin.github.io/statements/FC/FCB045/vendor.pdf,Bit Manipulation,550
Day 21,Exercise,GAME,fcb043,https://oj.vnoi.info/problem/fcb043_game,,https://vnoi-admin.github.io/statements/FC/FCB043/game.pdf,Game Theory,550
Day 2,Exercise,REPXOR,fcb054,https://oj.vnoi.info/problem/fcb054_repxor,,https://vnoi-admin.github.io/statements/FC/FCB054/repxor.pdf,Bit Manipulation,600
Day 3,Exercise,MAXGRID,fcb045,https://oj.vnoi.info/problem/fcb045_maxgrid,,https://vnoi-admin.github.io/statements/FC/FCB045/maxgrid.pdf,Graph,600
Day 6,Exercise,DIV7,fcb053,https://oj.vnoi.info/problem/fcb053_div7,,https://vnoi-admin.github.io/statements/FC/FCB053/div7.pdf,Math,600
